Instance    NumAtoms NumFinalStates BoardSize NumFreePositions
adrien_01          3             54       144               77
atomix_01          3             17       110               45
kai_01             3              9       100               39
katomic_01         3             23        99               49
katomic_36         3             21       143               52
marbles_04         3             18       100               49
marbles_13         3              3        64               27
unitopia_01        3             41       128               68
adrienl_05         4             64       198              131
atomix_23          4             20       168               82
atomix_26          4             17       182              102
kai_06             4             16       143               72
kai_19             4             21       156               73
katomic_20         4             16       169               83
katomic_23         4             32       169               93
marbles_01         4              2        64               21
marbles_03         4              5        99               39
unitopia_02        4              5       128               62
adrien_02          5             13       144               81
atomix_02          5              6       154               61
atomix_11          5             14       169               83
kai_02             5              2       132               54
kai_11             5              7       132               52
katomic_02         5             10       143               64
katomic_10         5              8       169               84
katomic_57         5              3       132               45
marbles_02         5              5        90               38
marbles_05         5              2        81               34
marbles_06         5              3       120               41
unitopia_03        5             12       128               56
adrien_03          6             31       144               75
adrien_06          6             15       144               81
atomix_03          6              4       169               65
atomix_04          6              2       143               60
kai_03             6              4       169               65
katomic_03         6              4       156               66
katomic_04         6              8       121               45
katomic_58         6              3       121               60
marbles_08         6              3       100               48
marbles_12         6              3        84               40
marbles_14         6              1       110               27
unitopia_04        6              5       128               59
unitopia_05        6              7       128               68
adrienl_01         7             26       198              122
adrienl_03         7             43       198              133
atomix_09          7              1       110               49
katomic_08         7              1       121               61
katomic_26         7              3       169               81
katomic_46         7              3       143               53
katomic_60         7              4       121               54
unitopia_08        7              4       128               59
adrienl_02         8              7       198              108
atomix_06          8              4        36               16
atomix_13          8              1       110               49
atomix_18          8              4        36               16
atomix_22          8              3       182               85
atomix_29          8              2       182               79
atomix_30          8              4        36               16
kai_05             8              2       132               67
kai_17             8              3       169               80
katomic_11         8              4       121               71
katomic_19         8              2       195              103
katomic_31         8              2       121               54
marbles_11         8              1       169               59
unitopia_10        8              2       128               57
adrienl_04         9              1       144               68
atomix_05          9              2       182               80
atomix_07          9              1       169               79
atomix_12          9              4        36               16
atomix_16          9              2       156               73
katomic_05         9              2       132               52
katomic_06         9              1       144               50
katomic_14         9              1       169               85
katomic_32         9              5        81               25
katomic_38         9              1       169               89
unitopia_06        9              2       128               61
adrien_04         10             16       198              119
adrien_05         10             13       180              108
atomix_10         10              2       156               82
atomix_28         10              1       132               65
kai_09            10              1       180               78
katomic_09        10              1       169               81
katomic_25        10              1       143               73
katomic_33        10              4       169               72
katomic_35        10              1        99               47
katomic_61        10              2       117               58
unitopia_07       10              1       128               60
katomic_47        11              1       121               60
katomic_66        11              1       169               78
atomix_08         12              1       156               81
atomix_14         12              1       168               94
atomix_15         12              1       156               89
atomix_21         12              2       182              108
kai_07            12              1       156               81
kai_08            12              1       169               72
kai_18            12              1       182               89
kai_20            12              1       196               90
kai_22            12              1       169               85
katomic_07        12              8       169               68
katomic_12        12              8       169               93
katomic_13        12              1       169               87
katomic_18        12              4       169               90
katomic_27        12              1       169               81
katomic_28        12              1       169               73
katomic_42        12              1       121               51
katomic_62        12              1       225               96
katomic_63        12              2       143               70
katomic_67        12              2       121               54
marbles_15        12              1       169               62
unitopia_09       12              2       128               60
katomic_34        13              1       169               96
atomix_20         14              1       143               68
atomix_25         14              2       182              101
kai_14            14              2       182               76
kai_21            14              1       225              101
kai_24            14              1       210               79
kai_25            14              1       210               95
katomic_17        14              2       143               73
katomic_22        14              4       169               90
katomic_45        14              1       156               63
15-puzzle         15              1        36               16
atomix_17         15              1       168               90
atomix_19         15              1       156               65
kai_12            15              1       182               97
katomic_15        15              1       169               87
katomic_16        15              1       169               69
katomic_29        15              1       169               71
katomic_41        15              4       169               81
katomic_55        15              1       169               83
katomic_56        15              1       169               79
atomix_24         16              1       100               32
kai_28            16              1       225              106
katomic_21        16              1       144               32
katomic_40        16              1       121               61
katomic_51        16              1       169               82
katomic_53        16              2        63               35
katomic_54        16              1       169               81
katomic_59        16              4       121               49
katomic_64        16              2       195               98
marbles_10        16              1        48               20
katomic_39        17              1       169               77
katomic_48        17              1       169               79
katomic_50        17              2       121               61
katomic_65        17              1        81               25
katomic_49        18              1       143               71
kai_27            19              1       225              112
katomic_52        19              1       169               84
atomix_27         20              1       182               84
katomic_24        20             10       195              115
kai_29            21              1       210               87
katomic_30        21              1       169               72
katomic_44        21              1       156               65
katomic_37        24              1       225              134
katomic_43        26              1       169               86
marbles_20        32              1        64               36
